miRNA_ID	p1normal_read_count	p2normal_read_count	p3normal_read_count	p4normal_read_count	p1tumor_read_count	p2tumor_read_count	p3tumor_read_count	p4tumor_read_count
hsa-mir-3611	0	0	0	0	0	0	0	0
hsa-mir-3612	0	0	0	0	0	0	0	0
hsa-mir-3613	0	0	0	5	22	21	26	15
hsa-mir-3614	9	13	9	16	5	11	3	3
hsa-mir-3615	23	52	50	35	6	4	3	2
hsa-mir-3616	0	0	0	0	0	0	0	0
hsa-mir-3617	0	0	0	0	0	0	0	2
hsa-mir-3618	0	0	0	0	2	0	0	0
hsa-mir-3619	0	1	0	0	0	0	1	0
hsa-mir-362	12	7	37	13	23	39	31	22
hsa-mir-3620	0	0	1	2	0	0	1	0
hsa-mir-3621	0	0	0	0	0	0	0	0
hsa-mir-3622a	12	12	4	6	0	1	0	0
hsa-mir-3622b	0	0	0	1	0	0	0	0
hsa-mir-363	4	8	7	8	8	57	11	1
hsa-mir-3646	0	0	0	0	0	0	0	0
hsa-mir-3648-1	0	0	0	0	0	0	0	0
hsa-mir-3648-2	0	0	0	0	0	0	0	0
hsa-mir-3649	0	0	0	0	0	1	0	0
hsa-mir-3650	0	0	0	0	0	0	0	0
hsa-mir-3651	10	1	4	16	9	0	2	0
hsa-mir-3652	2	4	2	5	0	0	0	2
hsa-mir-3653	8	9	15	95	9	14	12	5
hsa-mir-3654	0	0	0	0	0	0	0	0
hsa-mir-3655	0	0	2	1	0	1	0	0
hsa-mir-3656	0	1	0	2	0	0	0	0
hsa-mir-3657	0	0	0	0	0	0	0	0
hsa-mir-3658	0	0	0	0	0	0	0	0
hsa-mir-3659	0	0	0	0	0	0	0	0
hsa-mir-365a	47	27	57	74	72	86	90	12
hsa-mir-365b	44	25	53	79	72	85	88	12
hsa-mir-3660	0	0	0	0	0	0	0	0
hsa-mir-3661	0	0	0	0	0	0	0	0
hsa-mir-3662	0	0	0	0	3	0	1	2
hsa-mir-3663	0	0	0	0	0	0	0	0
hsa-mir-3664	0	0	1	0	0	0	1	0
hsa-mir-3665	0	0	0	0	0	0	0	0
hsa-mir-3666	0	0	0	0	0	0	0	0
hsa-mir-3667	1	0	0	0	0	0	0	0
hsa-mir-3668	0	0	0	0	0	0	0	0
hsa-mir-367	0	0	0	0	0	0	0	0
hsa-mir-3670-1	0	0	0	0	0	0	0	0
hsa-mir-3670-2	0	0	0	0	0	0	0	0
hsa-mir-3670-3	0	0	0	0	0	0	0	0
hsa-mir-3670-4	0	0	0	0	0	0	0	0
hsa-mir-3671	0	0	0	0	0	0	0	0
hsa-mir-3672	0	0	0	0	0	0	0	0
hsa-mir-3674	0	0	0	0	0	0	0	0
hsa-mir-3675	0	0	0	0	0	0	0	0
hsa-mir-3677	0	0	1	1	23	10	11	2
hsa-mir-3678	1	0	4	0	0	2	0	0
hsa-mir-3679	0	0	0	0	0	1	0	0
hsa-mir-3680-1	0	0	1	3	0	2	0	1
hsa-mir-3680-2	0	0	0	3	0	0	0	0
hsa-mir-3681	0	0	0	0	0	0	0	0
hsa-mir-3682	0	0	0	0	2	0	0	0
hsa-mir-3683	0	0	0	0	0	0	0	0
hsa-mir-3684	0	0	0	0	1	0	2	0
hsa-mir-3685	0	0	0	0	0	0	0	0
hsa-mir-3686	0	0	0	0	0	0	0	0
hsa-mir-3687-1	0	0	0	0	0	0	0	0
hsa-mir-3687-2	0	0	0	0	0	0	0	0
hsa-mir-3688-1	0	0	0	0	0	0	0	0
hsa-mir-3688-2	0	0	0	0	0	0	0	0
hsa-mir-3689a	0	0	0	0	0	0	0	0
hsa-mir-3689b	0	0	0	0	0	0	0	0
hsa-mir-3689c	0	0	0	0	0	0	0	0
hsa-mir-3689d-1	0	0	0	0	0	0	0	0
hsa-mir-3689d-2	0	0	0	0	0	0	0	0
hsa-mir-3689e	0	0	0	0	0	0	0	0
hsa-mir-3689f	0	0	0	0	0	0	0	0
hsa-mir-369	0	0	0	4	25	25	19	12
hsa-mir-3690-1	2	3	8	2	0	1	1	0
hsa-mir-3690-2	0	0	0	0	0	0	0	0
hsa-mir-3691	2	0	0	0	0	0	0	0
hsa-mir-3692	0	0	0	0	0	0	0	0
hsa-mir-370	34	30	33	31	20	37	18	6
hsa-mir-3713	0	0	0	0	0	0	0	0
hsa-mir-3714	0	0	0	0	0	0	0	0
hsa-mir-371a	0	0	0	0	0	0	0	0
hsa-mir-371b	0	0	0	0	0	0	0	0
hsa-mir-372	0	0	0	0	0	1	1	0
hsa-mir-373	0	0	0	0	0	0	0	0
hsa-mir-374a	8	5	3	0	1320	2304	3199	844
hsa-mir-374b	2	2	3	7	51	119	147	38
hsa-mir-374c	0	0	0	0	2	7	8	3
hsa-mir-375	172069	219044	273410	184064	27825	29707	28297	33090
hsa-mir-376a-1	0	0	0	0	1	3	3	0
hsa-mir-376a-2	0	0	0	0	1	1	1	2
hsa-mir-376b	0	0	0	0	3	1	4	0
hsa-mir-376c	0	0	0	0	4	9	7	2
hsa-mir-377	3	2	2	16	12	8	8	3
hsa-mir-378a	5176	5381	9752	9301	906	2369	1810	1037
hsa-mir-378b	0	0	0	0	0	0	0	0
hsa-mir-378c	13	14	14	45	9	53	21	11
hsa-mir-378d-1	0	0	1	0	0	1	2	0
hsa-mir-378d-2	0	0	0	0	0	3	2	0
hsa-mir-378e	0	0	0	0	0	0	0	0
hsa-mir-378f	0	0	0	0	0	1	0	0
hsa-mir-378g	0	0	0	0	0	0	0	0
hsa-mir-378h	0	0	0	0	0	0	0	0
hsa-mir-378i	0	0	0	0	0	0	0	0
hsa-mir-378j	0	0	0	0	0	0	0	0
hsa-mir-379	31	33	42	46	1137	1761	1435	521
hsa-mir-380	0	0	0	0	0	1	0	1
hsa-mir-381	12	19	35	20	57	83	68	36
hsa-mir-382	5	4	19	5	38	57	45	20
hsa-mir-383	9	0	0	5	1	8	4	0
hsa-mir-384	0	0	0	0	0	0	0	0
hsa-mir-3907	0	0	0	0	0	0	0	0
hsa-mir-3908	0	0	0	0	0	0	0	0
hsa-mir-3909	0	0	1	3	0	0	1	0
hsa-mir-3910-1	0	0	0	0	0	0	0	0
hsa-mir-3910-2	0	0	0	0	0	0	0	0
hsa-mir-3911	0	1	0	0	0	1	0	0
hsa-mir-3912	0	0	0	0	0	1	2	0
hsa-mir-3913-1	1	0	0	0	3	1	1	1
hsa-mir-3913-2	2	0	0	0	0	1	4	1
hsa-mir-3914-1	0	0	0	0	0	0	1	0
hsa-mir-3914-2	0	0	0	0	0	0	0	0
hsa-mir-3915	0	0	0	0	0	0	0	0
hsa-mir-3916	0	0	0	1	0	0	0	0
hsa-mir-3917	3	12	13	19	1	1	0	0
hsa-mir-3918	0	0	0	0	0	0	0	1
hsa-mir-3919	0	0	0	0	0	0	0	0
hsa-mir-3920	0	0	0	0	0	3	1	0
hsa-mir-3921	0	0	0	0	0	0	0	0
hsa-mir-3922	0	1	1	1	0	0	2	1
hsa-mir-3923	0	0	0	0	0	0	0	0
hsa-mir-3924	0	0	0	0	0	0	0	0
hsa-mir-3925	0	0	0	0	0	0	0	0
hsa-mir-3926-1	0	0	0	0	1	0	2	0
hsa-mir-3926-2	0	0	0	0	0	0	1	0
hsa-mir-3927	0	0	0	0	0	0	0	0
hsa-mir-3928	3	3	12	7	2	3	3	1
hsa-mir-3929	0	0	0	0	0	0	0	0
hsa-mir-3934	2	4	3	5	0	3	0	0
hsa-mir-3935	0	0	0	0	0	0	0	0
hsa-mir-3936	0	0	0	0	0	0	0	0
hsa-mir-3937	1	2	0	1	0	0	0	0
hsa-mir-3938	0	0	0	0	0	0	0	1
hsa-mir-3939	0	0	0	0	0	0	0	0
hsa-mir-3940	9	18	17	19	1	2	1	2
hsa-mir-3941	1	0	0	0	0	0	2	0
hsa-mir-3942	0	0	0	0	1	0	0	1
hsa-mir-3943	0	0	0	0	0	0	0	0
hsa-mir-3944	1	4	6	3	1	1	0	1
hsa-mir-3945	0	0	0	0	0	0	0	0
hsa-mir-3960	0	0	0	0	0	0	0	0
hsa-mir-3972	0	0	0	0	0	0	0	0
hsa-mir-3973	0	0	0	0	0	0	0	0
hsa-mir-3974	0	0	0	0	0	0	0	0
hsa-mir-3975	0	0	0	0	0	0	0	0
hsa-mir-3976	0	0	0	0	0	0	0	0
hsa-mir-3977	0	0	0	0	0	0	0	0
hsa-mir-3978	0	0	0	0	0	0	0	0
hsa-mir-409	61	58	62	39	62	122	63	50
hsa-mir-410	7	5	10	24	20	19	13	5
hsa-mir-411	0	0	0	0	12	20	10	4
hsa-mir-412	0	6	4	2	1	27	17	8
hsa-mir-421	0	0	0	1	3	5	4	4
hsa-mir-422a	0	0	0	0	0	0	0	0
hsa-mir-423	603	693	944	1229	107	175	116	81
hsa-mir-424	1	1	11	12	216	207	187	54
hsa-mir-425	101	138	411	180	741	300	453	265
hsa-mir-4251	0	0	0	0	0	0	0	0
hsa-mir-4252	0	0	0	0	0	0	0	0
hsa-mir-4253	0	0	0	0	0	0	0	0
hsa-mir-4254	0	0	0	0	0	0	0	0
hsa-mir-4255	0	0	0	0	0	0	0	0
hsa-mir-4256	0	0	0	0	0	0	0	0
hsa-mir-4257	0	0	0	0	0	0	0	0
hsa-mir-4258	0	0	0	0	0	0	0	0
hsa-mir-4259	0	0	0	0	0	0	0	0
hsa-mir-4260	0	0	0	0	0	0	0	0
hsa-mir-4261	0	0	0	0	0	0	0	0
hsa-mir-4262	0	0	0	0	0	0	0	0
hsa-mir-4263	0	0	0	0	0	0	0	0
hsa-mir-4264	0	0	0	0	0	0	0	0
hsa-mir-4265	0	0	0	0	0	0	0	0
hsa-mir-4266	0	0	0	0	0	0	0	0
hsa-mir-4267	0	0	0	0	0	0	0	0
hsa-mir-4268	0	0	0	0	0	0	0	0
hsa-mir-4269	0	0	0	0	0	0	0	0
hsa-mir-4270	0	0	0	0	0	0	0	0
hsa-mir-4271	0	0	0	0	0	0	0	0
hsa-mir-4272	0	0	0	0	0	0	0	0
hsa-mir-4273	0	0	0	0	0	0	0	0
hsa-mir-4274	0	0	0	0	0	0	0	0
hsa-mir-4275	0	0	0	0	0	0	0	0
hsa-mir-4276	0	0	0	0	0	0	0	0
hsa-mir-4277	0	0	0	0	0	0	0	0
hsa-mir-4278	0	0	0	0	0	0	0	0
hsa-mir-4279	0	0	0	0	0	0	0	0
hsa-mir-4280	0	0	0	0	0	0	0	0
hsa-mir-4281	0	0	0	0	0	0	0	0
hsa-mir-4282	0	0	0	0	0	0	0	0
hsa-mir-4283-1	0	0	0	0	0	0	0	0
hsa-mir-4283-2	0	0	0	0	0	0	0	0
hsa-mir-4284	0	0	0	0	0	0	0	0
hsa-mir-4285	0	0	0	0	0	0	0	0
hsa-mir-4286	1	0	0	2	0	0	0	0
hsa-mir-4287	0	0	0	0	0	0	0	0
hsa-mir-4288	0	0	0	0	0	0	0	0
hsa-mir-4289	0	0	0	0	0	0	0	0
hsa-mir-429	19	18	30	45	884	338	478	341
hsa-mir-4290	0	0	0	0	0	0	0	0
hsa-mir-4291	0	0	0	0	0	0	0	0
hsa-mir-4292	0	0	0	0	0	0	0	0
hsa-mir-4293	0	0	0	0	0	0	0	0
hsa-mir-4294	0	0	0	0	0	0	0	0
hsa-mir-4295	0	0	0	0	0	0	0	0
hsa-mir-4296	0	0	0	0	0	0	0	0
hsa-mir-4297	0	0	0	0	0	0	0	0
hsa-mir-4298	0	0	0	0	0	0	0	0
hsa-mir-4299	0	0	0	0	0	0	0	0
hsa-mir-4300	0	0	0	0	0	0	0	0
hsa-mir-4301	0	0	0	0	0	0	0	0
hsa-mir-4302	0	0	0	0	0	0	0	0
hsa-mir-4303	0	0	0	0	0	0	0	0
hsa-mir-4304	0	0	0	0	0	0	0	0
hsa-mir-4305	0	0	0	0	0	0	0	0
hsa-mir-4306	0	0	0	0	0	0	0	0
hsa-mir-4307	0	0	0	0	0	0	0	0
hsa-mir-4308	0	0	0	0	0	0	0	0
hsa-mir-4309	0	0	0	0	0	0	0	0
hsa-mir-431	37	25	25	51	10	40	10	6
hsa-mir-4310	0	0	0	0	0	0	0	0
hsa-mir-4311	0	0	0	0	0	0	0	0
hsa-mir-4312	0	0	0	0	0	0	0	0
hsa-mir-4313	0	0	0	0	0	0	0	0
hsa-mir-4314	0	0	0	0	0	0	0	0
hsa-mir-4315-1	0	0	0	0	0	0	0	0
hsa-mir-4315-2	0	0	0	0	0	0	0	0
hsa-mir-4316	0	0	0	0	0	0	0	0
hsa-mir-4317	0	0	0	0	0	0	0	0
hsa-mir-4318	0	0	0	0	0	0	0	0
hsa-mir-4319	0	0	0	0	0	0	0	0
hsa-mir-432	44	22	35	10	4	18	14	7
hsa-mir-4320	0	0	0	0	0	0	0	0
hsa-mir-4321	0	0	0	0	0	0	0	0
hsa-mir-4322	0	0	0	0	0	0	0	0
hsa-mir-4323	0	0	0	0	0	0	0	0
hsa-mir-4324	0	0	0	0	0	0	0	0
hsa-mir-4325	0	0	0	0	0	0	0	0
hsa-mir-4326	30	10	7	30	12	4	6	6
hsa-mir-4327	0	0	0	0	0	0	0	0
hsa-mir-4328	0	0	0	0	0	0	0	0
hsa-mir-4329	0	0	0	0	0	0	0	0
hsa-mir-433	21	15	12	11	2	5	3	2
hsa-mir-4330	0	0	0	0	0	0	0	0
hsa-mir-4417	0	0	0	0	0	0	0	0
hsa-mir-4418	0	0	0	0	0	0	0	0
hsa-mir-4419a	0	0	0	0	0	0	0	0
hsa-mir-4419b	0	0	0	0	0	0	0	0
hsa-mir-4420	0	0	0	0	0	0	0	0
hsa-mir-4421	0	0	0	0	0	0	0	0
hsa-mir-4422	0	0	0	0	0	0	0	0
hsa-mir-4423	0	0	0	1	0	1	1	0
hsa-mir-4424	0	0	0	0	0	0	0	0
hsa-mir-4425	0	0	0	0	0	0	2	0
hsa-mir-4426	0	0	0	0	0	0	0	0
hsa-mir-4427	0	0	0	0	0	0	0	0
hsa-mir-4428	0	0	0	0	0	0	0	0
hsa-mir-4429	0	0	0	0	0	0	0	0
hsa-mir-4430	0	0	0	0	0	0	0	0
hsa-mir-4431	0	0	0	0	0	0	0	0
hsa-mir-4432	0	0	0	0	0	0	0	0
hsa-mir-4433a	1	0	0	0	0	0	0	0
hsa-mir-4433b	2	1	0	0	0	0	0	0
hsa-mir-4434	0	0	0	0	0	2	1	0
hsa-mir-4435-1	0	0	0	0	0	0	0	0
hsa-mir-4435-2	0	0	0	0	0	0	0	0
hsa-mir-4436a	0	0	0	0	0	0	0	0
hsa-mir-4436b-1	0	0	0	7	0	0	0	0
hsa-mir-4436b-2	0	0	1	4	0	0	0	0
hsa-mir-4437	0	0	1	0	0	0	0	0
hsa-mir-4438	0	0	0	0	0	0	0	0
hsa-mir-4439	0	0	0	0	0	0	0	0
hsa-mir-4440	0	0	0	0	0	0	0	0
hsa-mir-4441	0	0	0	0	0	0	0	0
hsa-mir-4442	0	2	2	0	0	0	1	1
hsa-mir-4443	0	0	1	3	0	0	0	1
hsa-mir-4444-1	0	0	0	0	2	0	2	0
hsa-mir-4444-2	0	0	0	0	0	1	1	1
hsa-mir-4445	0	0	0	0	0	0	0	0
hsa-mir-4446	2	0	1	0	0	0	0	0
hsa-mir-4447	0	0	0	0	0	0	0	0
hsa-mir-4448	0	0	0	0	0	0	0	0
hsa-mir-4449	2	1	5	9	3	0	0	0
hsa-mir-4450	0	0	0	0	0	0	0	0
hsa-mir-4451	0	0	0	0	0	0	0	0
hsa-mir-4452	0	0	0	0	0	0	0	0
hsa-mir-4453	0	0	4	1	0	0	0	2
hsa-mir-4454	0	0	0	1	0	0	1	0
hsa-mir-4455	0	0	0	0	0	0	0	0
hsa-mir-4456	0	0	0	0	0	0	0	0
hsa-mir-4457	0	0	0	0	0	0	0	0
hsa-mir-4458	0	0	0	0	0	0	0	0
hsa-mir-4459	0	0	0	0	0	0	0	0
hsa-mir-4460	0	0	0	0	0	0	0	0
hsa-mir-4461	0	0	0	1	2	0	0	3
hsa-mir-4462	0	0	0	0	0	0	0	0
hsa-mir-4463	0	0	0	0	0	0	0	0
hsa-mir-4464	0	0	0	0	0	0	0	0
hsa-mir-4465	0	0	0	0	0	0	0	0
hsa-mir-4466	0	0	0	0	0	0	0	0
hsa-mir-4467	0	0	0	0	0	0	0	0
hsa-mir-4468	0	0	0	0	0	0	0	0
hsa-mir-4469	0	0	1	0	0	0	1	0
hsa-mir-4470	0	0	0	0	0	0	0	0
hsa-mir-4471	0	0	0	0	0	0	0	0
hsa-mir-4472-1	0	0	0	0	0	0	0	0
hsa-mir-4472-2	0	0	0	0	0	0	0	0
hsa-mir-4473	2	0	0	0	9	4	3	4
hsa-mir-4474	0	0	0	0	0	1	1	1
hsa-mir-4475	0	0	0	0	0	0	0	0
hsa-mir-4476	0	0	0	0	0	0	0	0
hsa-mir-4477a	0	0	0	0	0	0	0	0
hsa-mir-4477b	0	0	0	0	0	0	0	0
hsa-mir-4478	0	0	0	0	0	0	0	1
hsa-mir-4479	0	0	4	1	0	0	0	0
hsa-mir-448	0	0	0	0	0	0	0	0
hsa-mir-4480	0	0	0	0	0	0	0	0
hsa-mir-4481	0	0	0	0	0	0	0	0
hsa-mir-4482	0	0	0	0	0	2	0	1
hsa-mir-4483	0	0	0	0	0	0	0	0
hsa-mir-4484	0	0	0	0	0	0	1	2
hsa-mir-4485	0	0	0	0	0	0	0	0
hsa-mir-4486	0	0	0	0	0	0	0	0
hsa-mir-4487	0	0	0	0	0	1	0	0
hsa-mir-4488	0	0	0	2	0	0	0	0
hsa-mir-4489	0	0	0	0	0	0	0	0
hsa-mir-4490	0	0	0	0	0	0	0	0
hsa-mir-4491	0	0	1	0	0	0	1	0
hsa-mir-4492	0	0	0	0	0	0	0	0
hsa-mir-4493	0	0	0	0	0	0	0	0
hsa-mir-4494	0	0	0	0	0	1	0	0
hsa-mir-4495	0	0	0	0	0	0	0	0
hsa-mir-4496	0	0	0	0	0	0	0	0
hsa-mir-4497	0	0	0	0	0	0	0	0
hsa-mir-4498	0	0	0	0	0	0	0	0
hsa-mir-4499	0	0	0	0	0	0	0	0
hsa-mir-449a	0	1	0	0	0	0	0	0
hsa-mir-449b	0	0	0	0	0	0	0	0
hsa-mir-449c	0	0	0	0	0	0	0	0
hsa-mir-4500	0	0	0	0	0	0	0	0
hsa-mir-4501	0	0	0	0	0	0	2	0
hsa-mir-4502	0	0	0	0	0	0	0	0
hsa-mir-4503	0	0	0	0	0	0	0	0
hsa-mir-4504	0	0	0	0	0	0	0	0
hsa-mir-4505	0	0	0	0	0	0	0	0
hsa-mir-4506	0	0	0	0	0	0	0	0
hsa-mir-4507	0	0	0	0	0	0	0	0
hsa-mir-4508	0	0	0	0	0	0	0	0
hsa-mir-4509-1	0	0	0	0	0	0	0	0
hsa-mir-4509-2	0	0	0	0	0	0	0	0
hsa-mir-4509-3	0	0	0	0	0	0	0	0
hsa-mir-450a-1	0	0	0	0	5	6	8	0
hsa-mir-450a-2	0	0	0	0	5	5	4	0
hsa-mir-450b	0	0	0	0	26	22	27	14
hsa-mir-4510	0	0	0	0	0	0	0	0
hsa-mir-4511	0	0	0	0	0	0	0	0
hsa-mir-4512	0	0	1	1	0	0	0	0
hsa-mir-4513	0	0	0	0	0	0	0	0
hsa-mir-4514	0	0	0	0	0	0	0	0
hsa-mir-4515	0	0	0	0	0	0	0	1
hsa-mir-4516	0	0	0	1	0	0	0	0
hsa-mir-4517	0	0	0	0	0	0	0	0
hsa-mir-4518	0	0	0	0	0	0	0	0
hsa-mir-4519	0	0	0	1	0	0	0	0
hsa-mir-451a	25	43	42	93	558	842	414	150
hsa-mir-451b	0	0	0	0	0	0	0	0
hsa-mir-452	1	3	6	6	176	147	193	68
hsa-mir-4520-1	0	0	0	0	0	0	0	0
hsa-mir-4520-2	0	0	0	0	0	0	0	0
hsa-mir-4521	1	3	1	4	0	3	1	0
hsa-mir-4522	0	0	0	4	0	2	0	1
hsa-mir-4523	0	0	0	0	0	0	0	0
hsa-mir-4524a	0	0	0	12	0	0	0	0
hsa-mir-4524b	0	0	0	0	0	0	0	0
hsa-mir-4525	0	0	2	0	0	0	0	0
hsa-mir-4526	0	0	0	0	0	0	0	0
hsa-mir-4527	0	0	0	0	0	0	0	0
hsa-mir-4528	0	0	0	0	0	0	0	0
hsa-mir-4529	0	0	0	1	0	0	0	0
hsa-mir-4530	0	0	1	0	0	0	0	0
hsa-mir-4531	0	0	0	0	0	0	0	0
hsa-mir-4532	0	0	0	0	0	0	0	0
hsa-mir-4533	0	0	0	0	0	0	0	0
hsa-mir-4534	0	0	0	0	0	0	0	0
hsa-mir-4535	0	0	0	0	0	0	0	0
hsa-mir-4536-1	0	0	0	0	0	0	0	0
hsa-mir-4536-2	0	0	0	0	0	0	0	0
hsa-mir-4537	0	0	0	0	0	0	0	0
hsa-mir-4538	0	0	0	0	0	0	0	0
hsa-mir-4539	0	0	0	0	0	0	0	0
hsa-mir-454	0	0	0	1	18	16	13	5
hsa-mir-4540	0	0	0	0	0	0	0	0
hsa-mir-455	289	336	504	573	330	533	463	230
hsa-mir-4632	0	2	6	4	0	0	0	0
hsa-mir-4633	0	0	0	0	0	0	0	0
hsa-mir-4634	0	0	0	4	0	0	0	0
hsa-mir-4635	0	0	0	0	0	0	0	0
hsa-mir-4636	1	0	1	0	1	1	2	4
hsa-mir-4637	0	0	0	0	0	0	0	0
hsa-mir-4638	4	3	0	2	3	1	1	3
hsa-mir-4639	0	0	0	0	0	0	2	0
hsa-mir-4640	0	0	1	3	0	0	0	0
hsa-mir-4641	0	0	0	0	0	0	0	0
hsa-mir-4642	0	0	0	0	0	0	0	0
hsa-mir-4643	0	0	0	0	0	0	0	0
hsa-mir-4644	0	0	0	0	0	0	0	0
hsa-mir-4645	0	0	0	0	0	0	1	0
hsa-mir-4646	1	0	0	1	0	0	0	0
hsa-mir-4647	0	0	0	0	0	1	0	0
hsa-mir-4648	0	0	0	2	1	0	0	0
hsa-mir-4649	0	0	1	0	0	2	1	0
hsa-mir-4650-1	0	0	0	0	0	0	0	0
hsa-mir-4650-2	0	0	0	0	0	0	0	0
hsa-mir-4651	0	1	1	1	0	0	0	0
hsa-mir-4652	0	0	0	1	3	0	0	0
hsa-mir-4653	0	0	0	0	0	0	0	0
hsa-mir-4654	0	0	0	0	0	0	0	0
hsa-mir-4655	0	0	0	0	0	0	0	0
hsa-mir-4656	0	0	0	0	0	0	0	0
hsa-mir-4657	0	0	0	0	0	0	0	0
hsa-mir-4658	1	0	2	0	2	0	0	0
hsa-mir-4659a	0	0	0	2	0	0	0	0
hsa-mir-4659b	0	0	0	0	0	0	0	0
hsa-mir-466	0	0	0	0	0	0	0	0
hsa-mir-4660	0	2	1	1	0	0	2	0
hsa-mir-4661	2	4	7	1	6	7	1	4
hsa-mir-4662a	0	0	0	1	2	19	12	9
hsa-mir-4662b	0	0	0	0	0	0	0	0
hsa-mir-4663	0	0	0	0	0	0	0	0
hsa-mir-4664	0	1	1	1	3	0	0	1
hsa-mir-4665	2	0	1	1	0	0	3	0
hsa-mir-4666a	0	0	0	0	0	0	0	0
hsa-mir-4666b	0	0	0	0	0	0	0	0
hsa-mir-4667	0	1	0	0	0	0	0	1
hsa-mir-4668	0	0	0	0	7	7	4	1
hsa-mir-4669	0	0	0	0	0	0	0	0
hsa-mir-4670	0	0	0	0	0	0	0	0
hsa-mir-4671	0	0	0	0	0	0	0	0
hsa-mir-4672	0	0	0	0	0	0	0	0
hsa-mir-4673	0	0	0	0	0	0	0	0
hsa-mir-4674	2	1	0	0	0	1	0	0
hsa-mir-4675	0	0	0	0	0	0	0	0
hsa-mir-4676	5	7	7	5	0	0	1	1
hsa-mir-4677	1	0	0	0	8	15	23	11
hsa-mir-4678	0	0	0	0	0	0	0	0
hsa-mir-4679-1	0	0	0	0	0	0	0	0
hsa-mir-4679-2	0	0	0	0	0	1	0	0
hsa-mir-4680	0	0	0	0	0	1	0	0
hsa-mir-4681	0	0	0	0	0	0	0	0
hsa-mir-4682	0	0	0	0	0	0	0	0
hsa-mir-4683	0	0	0	0	0	0	0	0
hsa-mir-4684	0	0	0	0	2	1	2	0
hsa-mir-4685	1	2	2	5	0	0	1	1
hsa-mir-4686	0	0	0	0	0	0	0	0
hsa-mir-4687	0	1	1	2	0	0	0	1
hsa-mir-4688	0	0	0	0	0	0	0	0
hsa-mir-4689	2	0	0	0	0	0	0	0
hsa-mir-4690	0	0	0	0	0	1	0	1
hsa-mir-4691	1	0	0	0	0	0	0	0
hsa-mir-4692	0	0	0	0	0	0	0	0
hsa-mir-4693	0	0	0	0	0	0	0	0
hsa-mir-4694	0	0	0	0	0	0	0	0
hsa-mir-4695	0	0	0	0	0	0	0	0
hsa-mir-4696	0	0	0	0	0	0	1	0
hsa-mir-4697	0	0	0	0	0	0	0	0
hsa-mir-4698	0	0	0	0	0	0	0	0
hsa-mir-4699	0	0	0	0	0	0	0	0
hsa-mir-4700	0	2	0	0	0	0	0	0
hsa-mir-4701	0	0	0	0	0	0	0	0
hsa-mir-4703	0	0	0	0	0	0	0	0
hsa-mir-4704	0	0	0	0	0	0	0	0
hsa-mir-4705	0	0	0	0	0	1	0	0
hsa-mir-4706	0	0	0	0	0	0	0	0
hsa-mir-4707	1	0	6	6	0	0	0	0
hsa-mir-4708	1	1	0	0	0	0	0	0
hsa-mir-4709	0	0	0	0	0	1	1	0
hsa-mir-4710	1	0	1	0	0	0	0	0
hsa-mir-4711	0	0	0	0	0	0	0	0
hsa-mir-4712	0	0	0	0	0	0	0	0
hsa-mir-4713	0	0	0	3	0	0	0	0
hsa-mir-4714	0	0	0	0	1	1	2	0
hsa-mir-4715	0	0	0	0	0	0	0	0
hsa-mir-4716	0	0	1	0	0	0	0	0
hsa-mir-4717	3	0	0	0	0	0	1	0
hsa-mir-4718	0	0	0	0	0	0	0	0
hsa-mir-4719	0	0	0	0	0	0	0	0
hsa-mir-4720	0	0	0	0	0	0	0	0
hsa-mir-4721	0	0	0	0	0	0	0	0
hsa-mir-4722	0	0	0	0	0	0	0	0
hsa-mir-4723	1	0	0	0	0	0	0	0
hsa-mir-4724	0	0	1	0	4	1	1	0
hsa-mir-4725	0	0	2	0	0	0	1	0
hsa-mir-4726	0	1	0	0	1	1	0	0
hsa-mir-4727	0	0	1	0	0	0	0	0
hsa-mir-4728	4	6	9	27	3	1	0	2
hsa-mir-4729	0	0	0	0	1	0	0	0
hsa-mir-4730	0	0	0	0	0	0	0	0
hsa-mir-4731	0	0	0	3	0	0	0	0
hsa-mir-4732	5	14	4	7	0	0	0	0
hsa-mir-4733	0	0	0	3	0	0	0	0
hsa-mir-4734	0	0	0	0	0	0	0	1
hsa-mir-4735	0	0	0	0	0	0	0	0
hsa-mir-4736	0	0	0	1	0	0	0	0
hsa-mir-4737	0	0	0	0	0	0	0	0
hsa-mir-4738	0	0	0	3	0	0	0	1
hsa-mir-4739	0	0	2	0	0	0	1	0
hsa-mir-4740	0	1	0	0	0	0	0	0
hsa-mir-4741	0	0	0	0	0	0	0	0
hsa-mir-4742	0	2	3	1	2	0	0	1
hsa-mir-4743	0	0	0	0	0	1	0	0
hsa-mir-4744	0	0	0	0	0	0	0	0
hsa-mir-4745	0	0	2	0	0	0	0	0
hsa-mir-4746	6	6	10	15	4	1	2	3
hsa-mir-4747	0	0	0	0	0	0	0	0
hsa-mir-4748	0	0	0	0	0	0	0	0
hsa-mir-4749	0	1	0	0	0	0	0	0
hsa-mir-4750	0	1	0	0	0	0	0	0
hsa-mir-4751	0	0	0	0	0	0	0	0
hsa-mir-4752	0	0	0	0	0	0	0	0
hsa-mir-4753	0	0	0	1	0	0	0	0
hsa-mir-4754	1	2	5	0	0	0	1	0
hsa-mir-4755	0	0	0	1	0	0	1	0
hsa-mir-4756	1	0	0	0	0	0	0	0
