miRTarBase ID,miRNA,Species (miRNA),Target Gene,Target Gene (Entrez ID),Species (Target Gene),Experiments,Support Type,References (PMID)
MIRT020927,hsa-miR-155-5p,Homo sapiens,HBP1,26959,Homo sapiens,Reporter assay;Other,Functional MTI,20584899
MIRT020927,hsa-miR-155-5p,Homo sapiens,HBP1,26959,Homo sapiens,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,24675724
MIRT020928,hsa-miR-155-5p,Homo sapiens,WWC1,23286,Homo sapiens,Reporter assay;Other,Functional MTI,20584899
MIRT020929,hsa-miR-155-5p,Homo sapiens,WEE1,7465,Homo sapiens,Reporter assay;Other,Functional MTI,20584899
MIRT020930,hsa-miR-155-5p,Homo sapiens,GOLT1B,51026,Homo sapiens,Reporter assay;Other,Non-Functional MTI,20584899
MIRT020931,hsa-miR-155-5p,Homo sapiens,PALD1,27143,Homo sapiens,Reporter assay;Other,Functional MTI,20584899
MIRT020946,hsa-miR-155-5p,Homo sapiens,CCND1,595,Homo sapiens,Luciferase reporter assay//Western blot,Functional MTI,22858023
MIRT020946,hsa-miR-155-5p,Homo sapiens,CCND1,595,Homo sapiens,Flow//Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26955820
MIRT020979,hsa-miR-155-5p,Homo sapiens,CXCL8,3576,Homo sapiens,Western blot,Functional MTI,21030878
MIRT020980,hsa-miR-155-5p,Homo sapiens,ZNF83,55769,Homo sapiens,Reporter assay;Other,Non-Functional MTI,20584899
MIRT020981,hsa-miR-155-5p,Homo sapiens,PHF14,9678,Homo sapiens,Reporter assay;Other,Functional MTI,20584899
MIRT020982,hsa-miR-155-5p,Homo sapiens,TBC1D8B,54885,Homo sapiens,Reporter assay;Other,Non-Functional MTI,20584899
MIRT020983,hsa-miR-155-5p,Homo sapiens,INPP5F,22876,Homo sapiens,Reporter assay;Other,Functional MTI,20584899
MIRT020984,hsa-miR-155-5p,Homo sapiens,ARPC3,10094,Homo sapiens,Reporter assay;Other,Non-Functional MTI,20584899
MIRT020985,hsa-miR-155-5p,Homo sapiens,KRCC1,51315,Homo sapiens,Reporter assay;Other,Non-Functional MTI,20584899
MIRT020986,hsa-miR-155-5p,Homo sapiens,FAM177A1,283635,Homo sapiens,Reporter assay;Other,Functional MTI,20584899
MIRT020987,hsa-miR-155-5p,Homo sapiens,UBTD2,92181,Homo sapiens,Reporter assay;Other,Non-Functional MTI,20584899
MIRT020988,hsa-miR-155-5p,Homo sapiens,SECISBP2,79048,Homo sapiens,Reporter assay;Other,Functional MTI,20584899
MIRT020989,hsa-miR-155-5p,Homo sapiens,PAK2,5062,Homo sapiens,Reporter assay;Other,Functional MTI,20584899
MIRT020990,hsa-miR-155-5p,Homo sapiens,SLC33A1,9197,Homo sapiens,Reporter assay;Other,Non-Functional MTI,20584899
MIRT020991,hsa-miR-155-5p,Homo sapiens,ZNF28,7576,Homo sapiens,Reporter assay;Other,Functional MTI,20584899
MIRT020992,hsa-miR-155-5p,Homo sapiens,MCM8,84515,Homo sapiens,Reporter assay;Other,Functional MTI,20584899
MIRT020993,hsa-miR-155-5p,Homo sapiens,SMARCA4,6597,Homo sapiens,Reporter assay;Other,Functional MTI,20584899
MIRT020993,hsa-miR-155-5p,Homo sapiens,SMARCA4,6597,Homo sapiens,qRT-PCR//Western blot,Functional MTI,28251496
MIRT020994,hsa-miR-155-5p,Homo sapiens,TCF12,6938,Homo sapiens,Reporter assay;Other,Non-Functional MTI,20584899
MIRT020995,hsa-miR-155-5p,Homo sapiens,TOMM20,9804,Homo sapiens,Reporter assay;Other,Non-Functional MTI,20584899
MIRT020996,hsa-miR-155-5p,Homo sapiens,UBQLN1,29979,Homo sapiens,Reporter assay;Other,Functional MTI,20584899
MIRT021048,hsa-miR-155-5p,Homo sapiens,NFKB1,4790,Homo sapiens,Immunofluorescence//Immunohistochemistry//Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26934326
MIRT021053,hsa-miR-155-5p,Homo sapiens,ZNF611,81856,Homo sapiens,Western blot,Functional MTI,20584899
MIRT021057,hsa-miR-155-5p,Homo sapiens,VPS18,57617,Homo sapiens,Reporter assay,Functional MTI,20584899
MIRT021058,hsa-miR-155-5p,Homo sapiens,NSD3,54904,Homo sapiens,Reporter assay;Other,Functional MTI,21030878
MIRT021059,hsa-miR-155-5p,Homo sapiens,MASTL,84930,Homo sapiens,Reporter assay;Other,Functional MTI,18668040
MIRT021059,hsa-miR-155-5p,Homo sapiens,MASTL,84930,Homo sapiens,Reporter assay;Other,Non-Functional MTI,20584899
MIRT021060,hsa-miR-155-5p,Homo sapiens,MYBL1,4603,Homo sapiens,Reporter assay;Other,Functional MTI,20584899
MIRT021060,hsa-miR-155-5p,Homo sapiens,MYBL1,4603,Homo sapiens,Reporter assay;Other,Functional MTI,18668040
MIRT021061,hsa-miR-155-5p,Homo sapiens,GATM,2628,Homo sapiens,Reporter assay;Other,Functional MTI,20584899
MIRT021061,hsa-miR-155-5p,Homo sapiens,GATM,2628,Homo sapiens,Reporter assay;Other,Functional MTI,18668040
MIRT021062,hsa-miR-155-5p,Homo sapiens,E2F2,1870,Homo sapiens,Reporter assay;Other,Functional MTI,20584899
MIRT021062,hsa-miR-155-5p,Homo sapiens,E2F2,1870,Homo sapiens,Reporter assay;Other,Non-Functional MTI,19759154
MIRT021062,hsa-miR-155-5p,Homo sapiens,E2F2,1870,Homo sapiens,Immunohistochemistry//Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26967247
MIRT021063,hsa-miR-155-5p,Homo sapiens,FAM135A,57579,Homo sapiens,Reporter assay;Other,Functional MTI,18950466
MIRT021063,hsa-miR-155-5p,Homo sapiens,FAM135A,57579,Homo sapiens,Reporter assay;Other,Non-Functional MTI,21310411
MIRT021064,hsa-miR-155-5p,Homo sapiens,C3orf18,51161,Homo sapiens,Reporter assay;Other,Functional MTI,21036908
MIRT021064,hsa-miR-155-5p,Homo sapiens,C3orf18,51161,Homo sapiens,Reporter assay;Western blot,Functional MTI,20584899
MIRT021065,hsa-miR-155-5p,Homo sapiens,ARL6IP5,10550,Homo sapiens,Reporter assay;Other,Non-Functional MTI,20584899
MIRT021066,hsa-miR-200c-3p,Homo sapiens,KLHL20,27252,Homo sapiens,Reporter assay,Functional MTI,20005803
MIRT021067,hsa-miR-200c-3p,Homo sapiens,PTPRD,5789,Homo sapiens,Reporter assay,Functional MTI,20005803
MIRT021068,hsa-miR-200c-3p,Homo sapiens,ELMO2,63916,Homo sapiens,Reporter assay,Functional MTI,20005803
MIRT021069,hsa-miR-200c-3p,Homo sapiens,ERBIN,55914,Homo sapiens,Reporter assay,Functional MTI,20005803
MIRT021071,hsa-miR-200c-3p,Homo sapiens,WDR37,22884,Homo sapiens,Reporter assay,Functional MTI,20005803
MIRT021072,hsa-miR-200c-3p,Homo sapiens,VAC14,55697,Homo sapiens,Reporter assay,Functional MTI,20005803
MIRT021073,hsa-miR-200c-3p,Homo sapiens,TCF7L1,83439,Homo sapiens,Reporter assay,Functional MTI,20005803
MIRT021074,hsa-miR-200c-3p,Homo sapiens,RASSF2,9770,Homo sapiens,Reporter assay,Functional MTI,20005803
MIRT021075,hsa-miR-200c-3p,Homo sapiens,HOXB5,3215,Homo sapiens,Reporter assay,Functional MTI,20005803
MIRT021076,hsa-miR-200c-3p,Homo sapiens,RIN2,54453,Homo sapiens,Reporter assay,Functional MTI,20005803
MIRT021077,hsa-miR-200c-3p,Homo sapiens,KLF11,8462,Homo sapiens,Reporter assay,Functional MTI,20005803
MIRT021078,hsa-miR-200c-3p,Homo sapiens,SEPT7,989,Homo sapiens,Reporter assay,Functional MTI,20005803
MIRT021079,hsa-miR-200c-3p,Homo sapiens,SHC1,6464,Homo sapiens,Reporter assay,Functional MTI,20005803
MIRT021080,hsa-miR-206,Homo sapiens,GJA1,2697,Homo sapiens,Western blot,Functional MTI,17062625
MIRT021080,hsa-miR-206,Homo sapiens,GJA1,2697,Homo sapiens,Luciferase reporter assay,Functional MTI,28342807
MIRT021082,hsa-miR-190a-5p,Homo sapiens,PHLPP1,23239,Homo sapiens,Reporter assay;Western blot,Functional MTI,21750348
MIRT021082,hsa-miR-190a-5p,Homo sapiens,PHLPP1,23239,Homo sapiens,qRT-PCR//Luciferase reporter assay//Western blot,Functional MTI,23396362
MIRT021161,hsa-miR-186-5p,Homo sapiens,FGF2,2247,Homo sapiens,Luciferase reporter assay,Functional MTI,28213656
MIRT021213,hsa-miR-149-3p,Homo sapiens,MYBL2,4605,Homo sapiens,Reporter assay;Western blot;qRT-PCR,Functional MTI,20623644
MIRT021229,hsa-miR-146a-5p,Homo sapiens,STAT1,6772,Homo sapiens,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,23890093
MIRT021229,hsa-miR-146a-5p,Homo sapiens,STAT1,6772,Homo sapiens,Luciferase reporter assay,Functional MTI,23698745
MIRT021229,hsa-miR-146a-5p,Homo sapiens,STAT1,6772,Homo sapiens,qRT-PCR//Western blot,Functional MTI,25889446
MIRT021236,hsa-miR-146a-5p,Homo sapiens,UHRF1,29128,Homo sapiens,Immunohistochemistry//Luciferase reporter assay//Microarray//Western blot,Functional MTI,23982143
MIRT021278,hsa-miR-146a-5p,Homo sapiens,CD80,941,Homo sapiens,Immunohistochemistry//Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26505653
MIRT021280,hsa-miR-146a-5p,Homo sapiens,SLPI,6590,Homo sapiens,Western blot;qRT-PCR,Functional MTI,20110513
MIRT021281,hsa-miR-126-3p,Homo sapiens,CRKL,1399,Homo sapiens,Immunohistochemistry//Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,24055140
MIRT021282,hsa-miR-126-3p,Homo sapiens,PGR,5241,Homo sapiens,Reporter assay;Western blot,Functional MTI,21526342
MIRT021307,hsa-miR-125a-5p,Homo sapiens,EIF4EBP1,1978,Homo sapiens,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26646586
MIRT021395,hsa-miR-9-5p,Homo sapiens,VIM,7431,Homo sapiens,Western blot,Non-Functional MTI,20173740
MIRT021397,hsa-miR-9-5p,Homo sapiens,XRN2,22803,Homo sapiens,Western blot,Functional MTI,26089393
MIRT021402,hsa-miR-9-5p,Homo sapiens,CHMP2B,25978,Homo sapiens,Western blot;qRT-PCR,Functional MTI,20362537
MIRT021403,hsa-miR-9-5p,Homo sapiens,STMN1,3925,Homo sapiens,Reporter assay;Western blot;qRT-PCR,Functional MTI,20362537
MIRT021403,hsa-miR-9-5p,Homo sapiens,STMN1,3925,Homo sapiens,Luciferase reporter assay,Functional MTI,24043603
MIRT021404,hsa-miR-9-5p,Homo sapiens,GRN,2896,Homo sapiens,Reporter assay,Non-Functional MTI,20479936
MIRT021440,hsa-miR-9-5p,Homo sapiens,ABCC1,4363,Homo sapiens,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,28098912
MIRT021486,hsa-miR-9-5p,Homo sapiens,CD34,947,Homo sapiens,Western blot,Functional MTI,18308931
MIRT021499,hsa-miR-145-5p,Homo sapiens,RTKN,6242,Homo sapiens,Reporter assay;Western blot;qRT-PCR;Other,Functional MTI,19360360
MIRT021501,hsa-miR-145-5p,Homo sapiens,F11R,50848,Homo sapiens,Reporter assay,Functional MTI,20818426
MIRT021501,hsa-miR-145-5p,Homo sapiens,F11R,50848,Homo sapiens,Reporter assay;Microarray,Functional MTI,21351259
MIRT021502,hsa-miR-145-5p,Homo sapiens,ARL6IP5,10550,Homo sapiens,Reporter assay;Microarray,Functional MTI,21351259
MIRT021503,hsa-miR-145-5p,Homo sapiens,AKR1B10,57016,Homo sapiens,Reporter assay;Microarray,Functional MTI,21351259
MIRT021504,hsa-miR-145-5p,Homo sapiens,C11orf65,160140,Homo sapiens,Reporter assay;Microarray,Functional MTI,21351259
MIRT021505,hsa-miR-145-5p,Homo sapiens,HLTF,6596,Homo sapiens,Reporter assay;Microarray,Functional MTI,21351259
MIRT021506,hsa-miR-145-5p,Homo sapiens,GMFB,2764,Homo sapiens,Reporter assay;Microarray,Functional MTI,21351259
MIRT021507,hsa-miR-145-5p,Homo sapiens,SERINC5,256987,Homo sapiens,Reporter assay;Microarray,Functional MTI,21351259
MIRT021508,hsa-miR-145-5p,Homo sapiens,MEST,4232,Homo sapiens,Reporter assay;Microarray,Functional MTI,21351259
MIRT021509,hsa-miR-145-5p,Homo sapiens,ALPPL2,251,Homo sapiens,Reporter assay;Microarray,Functional MTI,21351259
MIRT021510,hsa-miR-145-5p,Homo sapiens,NDRG2,57447,Homo sapiens,Reporter assay;Microarray,Functional MTI,21351259
MIRT021511,hsa-miR-145-5p,Homo sapiens,DTD1,92675,Homo sapiens,Reporter assay;Microarray,Functional MTI,21351259
MIRT021512,hsa-miR-145-5p,Homo sapiens,TPM3,7170,Homo sapiens,Reporter assay;Microarray,Functional MTI,21351259
MIRT021513,hsa-miR-145-5p,Homo sapiens,MAP2K6,5608,Homo sapiens,Reporter assay;Microarray,Functional MTI,21351259
MIRT021514,hsa-miR-145-5p,Homo sapiens,CEP19,84984,Homo sapiens,Reporter assay;Microarray,Functional MTI,21351259
MIRT021515,hsa-miR-145-5p,Homo sapiens,TPRG1,285386,Homo sapiens,Reporter assay;Microarray,Functional MTI,21351259
MIRT021516,hsa-miR-145-5p,Homo sapiens,GOLM1,51280,Homo sapiens,Reporter assay;Microarray,Functional MTI,21351259
MIRT021517,hsa-miR-145-5p,Homo sapiens,CCDC43,124808,Homo sapiens,Reporter assay;Microarray,Functional MTI,21351259
MIRT021518,hsa-miR-145-5p,Homo sapiens,MMP1,4312,Homo sapiens,Reporter assay;Microarray,Functional MTI,21351259
MIRT021519,hsa-miR-145-5p,Homo sapiens,PTP4A2,8073,Homo sapiens,Reporter assay;Microarray,Functional MTI,21351259
MIRT021520,hsa-miR-145-5p,Homo sapiens,TMEM9B,56674,Homo sapiens,Reporter assay;Microarray,Functional MTI,21351259
MIRT021521,hsa-miR-145-5p,Homo sapiens,MMP12,4321,Homo sapiens,Reporter assay;Microarray,Functional MTI,21351259
MIRT021522,hsa-miR-145-5p,Homo sapiens,MTMR14,64419,Homo sapiens,Reporter assay;Microarray,Functional MTI,21351259
MIRT021523,hsa-miR-145-5p,Homo sapiens,ALDH3A1,218,Homo sapiens,Reporter assay;Microarray,Functional MTI,21351259
MIRT021524,hsa-miR-145-5p,Homo sapiens,NDUFA4,4697,Homo sapiens,Reporter assay;Microarray,Functional MTI,21351259
MIRT021525,hsa-miR-145-5p,Homo sapiens,FAM3C,10447,Homo sapiens,Reporter assay;Microarray,Functional MTI,21351259
MIRT021526,hsa-miR-145-5p,Homo sapiens,LYPLA2,11313,Homo sapiens,Reporter assay;Microarray,Functional MTI,21351259
MIRT021527,hsa-miR-145-5p,Homo sapiens,FAM45A,404636,Homo sapiens,Reporter assay;Microarray,Functional MTI,21351259
MIRT021528,hsa-miR-145-5p,Homo sapiens,PIGF,5281,Homo sapiens,Reporter assay;Microarray,Functional MTI,21351259
MIRT021529,hsa-miR-145-5p,Homo sapiens,AP1G1,164,Homo sapiens,Reporter assay;Microarray,Functional MTI,21351259
MIRT021530,hsa-miR-145-5p,Homo sapiens,JADE1,79960,Homo sapiens,Reporter assay;Microarray,Functional MTI,21351259
MIRT021531,hsa-miR-145-5p,Homo sapiens,NIPSNAP1,8508,Homo sapiens,Reporter assay;Microarray,Functional MTI,21351259
MIRT021532,hsa-miR-145-5p,Homo sapiens,KREMEN1,83999,Homo sapiens,Reporter assay;Microarray,Functional MTI,21351259
MIRT021533,hsa-miR-145-5p,Homo sapiens,MMP14,4323,Homo sapiens,Reporter assay;Microarray,Functional MTI,21351259
MIRT021534,hsa-miR-145-5p,Homo sapiens,ABRACL,58527,Homo sapiens,Reporter assay;Microarray,Functional MTI,21351259
MIRT021535,hsa-miR-145-5p,Homo sapiens,MIXL1,83881,Homo sapiens,Reporter assay;Microarray,Functional MTI,21351259
MIRT021536,hsa-miR-145-5p,Homo sapiens,TSPAN6,7105,Homo sapiens,Reporter assay;Microarray,Functional MTI,21351259
MIRT021537,hsa-miR-145-5p,Homo sapiens,PODXL,5420,Homo sapiens,Reporter assay;Microarray,Functional MTI,21351259
MIRT021538,hsa-miR-145-5p,Homo sapiens,APH1A,51107,Homo sapiens,Reporter assay;Microarray,Functional MTI,21351259
MIRT021539,hsa-miR-145-5p,Homo sapiens,ABHD17C,58489,Homo sapiens,Reporter assay;Microarray,Functional MTI,21351259
MIRT021540,hsa-miR-143-3p,Homo sapiens,MMP13,4322,Homo sapiens,Western blot;Microarray,Functional MTI,21427707
MIRT021540,hsa-miR-143-3p,Homo sapiens,MMP13,4322,Homo sapiens,Luciferase reporter assay,Functional MTI,23732700
MIRT021634,hsa-miR-142-3p,Homo sapiens,TGFBR1,7046,Homo sapiens,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,24558198
MIRT021634,hsa-miR-142-3p,Homo sapiens,TGFBR1,7046,Homo sapiens,Western blot,Functional MTI,28146434
MIRT021643,hsa-miR-142-3p,Homo sapiens,BOD1,91272,Homo sapiens,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,27527863
MIRT021645,hsa-miR-142-3p,Homo sapiens,PROM1,8842,Homo sapiens,Reporter assay,Functional MTI,21394831
MIRT021645,hsa-miR-142-3p,Homo sapiens,PROM1,8842,Homo sapiens,Luciferase reporter assay//Western blot,Functional MTI,23619912
MIRT021647,hsa-miR-141-3p,Homo sapiens,MAPK9,5601,Homo sapiens,Western blot,Functional MTI,20053927
MIRT021648,hsa-miR-141-3p,Homo sapiens,TFDP2,7029,Homo sapiens,Western blot,Functional MTI,20053927
MIRT021649,hsa-miR-141-3p,Homo sapiens,E2F3,1871,Homo sapiens,Western blot,Functional MTI,20053927
MIRT021649,hsa-miR-141-3p,Homo sapiens,E2F3,1871,Homo sapiens,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26233544
MIRT021650,hsa-miR-141-3p,Homo sapiens,SHC1,6464,Homo sapiens,Reporter assay,Functional MTI,20005803
MIRT021651,hsa-miR-141-3p,Homo sapiens,VAC14,55697,Homo sapiens,Reporter assay,Functional MTI,20005803
MIRT021652,hsa-miR-141-3p,Homo sapiens,TCF7L1,83439,Homo sapiens,Reporter assay,Functional MTI,20005803
MIRT021653,hsa-miR-141-3p,Homo sapiens,ELMO2,63916,Homo sapiens,Reporter assay,Functional MTI,20005803
MIRT021654,hsa-miR-141-3p,Homo sapiens,RASSF2,9770,Homo sapiens,Reporter assay,Functional MTI,20005803
MIRT021655,hsa-miR-141-3p,Homo sapiens,KLHL20,27252,Homo sapiens,Reporter assay,Functional MTI,20005803
MIRT021656,hsa-miR-141-3p,Homo sapiens,RIN2,54453,Homo sapiens,Reporter assay,Functional MTI,20005803
MIRT021657,hsa-miR-141-3p,Homo sapiens,SEPT7,989,Homo sapiens,Reporter assay,Functional MTI,20005803
MIRT021658,hsa-miR-141-3p,Homo sapiens,HOXB5,3215,Homo sapiens,Reporter assay,Functional MTI,20005803
MIRT021659,hsa-miR-141-3p,Homo sapiens,ERBIN,55914,Homo sapiens,Reporter assay,Functional MTI,20005803
MIRT021660,hsa-miR-141-3p,Homo sapiens,KLF11,8462,Homo sapiens,Reporter assay,Functional MTI,20005803
MIRT021661,hsa-miR-141-3p,Homo sapiens,PTPRD,5789,Homo sapiens,Reporter assay,Functional MTI,20005803
MIRT021662,hsa-miR-141-3p,Homo sapiens,WDR37,22884,Homo sapiens,Reporter assay,Functional MTI,20005803
MIRT021686,hsa-miR-138-5p,Homo sapiens,CDH1,999,Homo sapiens,Western blot,Functional MTI,21770894
MIRT021687,hsa-miR-138-5p,Homo sapiens,SNAI2,6591,Homo sapiens,Western blot;qRT-PCR,Functional MTI,21770894
MIRT021689,hsa-miR-138-5p,Homo sapiens,EED,8726,Homo sapiens,Western blot;qRT-PCR,Non-Functional MTI,21770894
MIRT021690,hsa-miR-138-5p,Homo sapiens,SUZ12,23512,Homo sapiens,Western blot;qRT-PCR,Functional MTI,21770894
MIRT021691,hsa-miR-138-5p,Homo sapiens,ZEB2,9839,Homo sapiens,Reporter assay;qRT-PCR,Functional MTI,21770894
MIRT021692,hsa-miR-138-5p,Homo sapiens,VIM,7431,Homo sapiens,Reporter assay;Western blot;qRT-PCR;Other,Functional MTI,21770894
MIRT021692,hsa-miR-138-5p,Homo sapiens,VIM,7431,Homo sapiens,qRT-PCR//Western blot,Functional MTI,22766839
MIRT021692,hsa-miR-138-5p,Homo sapiens,VIM,7431,Homo sapiens,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26796277
MIRT021705,hsa-miR-133a-3p,Homo sapiens,ARPC5,10092,Homo sapiens,Luciferase reporter assay//Microarray//qRT-PCR//Western blot,Functional MTI,22378351
MIRT021706,hsa-miR-133a-3p,Homo sapiens,FTL,2512,Homo sapiens,Immunocytochemistry//Western blot,Functional MTI,23969999
MIRT021710,hsa-miR-133a-3p,Homo sapiens,EGFL7,51162,Homo sapiens,Reporter assay,Non-Functional MTI,21249429
MIRT021711,hsa-miR-133a-3p,Homo sapiens,VEGFA,7422,Homo sapiens,Reporter assay,Non-Functional MTI,21249429
MIRT021712,hsa-miR-133a-3p,Homo sapiens,PIK3R2,5296,Homo sapiens,Reporter assay,Non-Functional MTI,21249429
MIRT021713,hsa-miR-133a-3p,Homo sapiens,RGS3,5998,Homo sapiens,Reporter assay,Non-Functional MTI,21249429
MIRT021714,hsa-miR-133a-3p,Homo sapiens,COL1A1,1277,Homo sapiens,Reporter assay,Functional MTI,21769867
MIRT021715,hsa-miR-133a-3p,Homo sapiens,GSTP1,2950,Homo sapiens,Reporter assay;Microarray,Functional MTI,21396852
MIRT021849,hsa-miR-132-3p,Homo sapiens,SPRED1,161742,Homo sapiens,Luciferase reporter assay//Western blot,Functional MTI,25945589
MIRT021860,hsa-miR-132-3p,Homo sapiens,MUC13,56667,Homo sapiens,Immunohistochemistry//Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,28339011
MIRT021865,hsa-miR-132-3p,Homo sapiens,CCNA2,890,Homo sapiens,Western blot;qRT-PCR,Functional MTI,21329664
MIRT021866,hsa-miR-132-3p,Homo sapiens,CCNB1,891,Homo sapiens,Western blot;qRT-PCR,Functional MTI,21329664
MIRT021924,hsa-miR-128-3p,Homo sapiens,SOX2,6657,Homo sapiens,Reporter assay,Non-Functional MTI,19409607
MIRT021926,hsa-miR-128-3p,Homo sapiens,KLF4,9314,Homo sapiens,Reporter assay,Non-Functional MTI,19409607
MIRT021926,hsa-miR-128-3p,Homo sapiens,KLF4,9314,Homo sapiens,Flow//qRT-PCR//Western blot,Functional MTI,23019226
MIRT021989,hsa-miR-128-3p,Homo sapiens,VEGFC,7424,Homo sapiens,Flow//qRT-PCR//Western blot,Functional MTI,25001183
MIRT021989,hsa-miR-128-3p,Homo sapiens,VEGFC,7424,Homo sapiens,ELISA//Immunohistochemistry//Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26460960
MIRT022019,hsa-miR-128-3p,Homo sapiens,POU5F1,5460,Homo sapiens,Reporter assay,Non-Functional MTI,19409607
MIRT022077,hsa-miR-128-3p,Homo sapiens,NEK2,4751,Homo sapiens,Luciferase reporter assay//qRT-PCR//Western blot//DNA methylation analysis,Functional MTI,24046120
MIRT022103,hsa-miR-128-3p,Homo sapiens,CTDSP1,58190,Homo sapiens,Reporter assay,Non-Functional MTI,17403776
MIRT022112,hsa-miR-125b-5p,Homo sapiens,EPO,2056,Homo sapiens,Luciferase reporter assay,Functional MTI,24165569
MIRT022114,hsa-miR-125b-5p,Homo sapiens,MUC1,4582,Homo sapiens,Reporter assay;Western blot,Functional MTI,20729973
MIRT022156,hsa-miR-124-3p,Homo sapiens,RRAS,6237,Homo sapiens,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,24861879
MIRT022167,hsa-miR-124-3p,Homo sapiens,PRRX1,5396,Homo sapiens,qRT-PCR//Luciferase reporter assay//Western blot,Functional MTI,24705396
MIRT022229,hsa-miR-124-3p,Homo sapiens,KLF6,1316,Homo sapiens,Luciferase reporter assay,Functional MTI,24184980
MIRT022271,hsa-miR-124-3p,Homo sapiens,SPHK1,8877,Homo sapiens,Luciferase reporter assay//qRT-PCR,Non-Functional MTI,24279510
MIRT022271,hsa-miR-124-3p,Homo sapiens,SPHK1,8877,Homo sapiens,Flow//Immunohistochemistry//Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,22450659
MIRT022271,hsa-miR-124-3p,Homo sapiens,SPHK1,8877,Homo sapiens,Luciferase reporter assay//Western blot,Functional MTI,28386327
MIRT022271,hsa-miR-124-3p,Homo sapiens,SPHK1,8877,Homo sapiens,Luciferase reporter assay//Western blot,Functional MTI,28212569
MIRT022768,hsa-miR-124-3p,Homo sapiens,AKT2,208,Homo sapiens,Immunoblot//Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,27175587
MIRT022976,hsa-miR-124-3p,Homo sapiens,CD151,977,Homo sapiens,Flow//Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,23816858
MIRT023023,hsa-miR-124-3p,Homo sapiens,SGPL1,8879,Homo sapiens,Luciferase reporter assay//qRT-PCR,Functional MTI,25559917
MIRT023039,hsa-miR-124-3p,Homo sapiens,CAPNS1,826,Homo sapiens,Immunoblot//Luciferase reporter assay//qRT-PCR,Functional MTI,26530859
MIRT023069,hsa-miR-124-3p,Homo sapiens,SIRT1,23411,Homo sapiens,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,27646435
MIRT023192,hsa-miR-124-3p,Homo sapiens,EGR1,1958,Homo sapiens,Luciferase reporter assay//Western blot,Functional MTI,27569005
MIRT023197,hsa-miR-124-3p,Homo sapiens,CDH2,1000,Homo sapiens,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,27073840
MIRT023198,hsa-miR-124-3p,Homo sapiens,TRIB3,57761,Homo sapiens,Luciferase reporter assay//Microarray//qRT-PCR//Western blot,Functional MTI,27845424
MIRT023272,hsa-miR-122-5p,Homo sapiens,HMOX1,3162,Homo sapiens,Western blot;qRT-PCR,Functional MTI,20633528
MIRT023334,hsa-miR-122-5p,Homo sapiens,BCL2L1,598,Homo sapiens,Western blot;qRT-PCR,Non-Functional MTI,18692484
MIRT023389,hsa-miR-122-5p,Homo sapiens,CREB1,1385,Homo sapiens,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,28337380
MIRT023396,hsa-miR-122-5p,Homo sapiens,PKM,5315,Homo sapiens,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,24466275
MIRT023398,hsa-miR-122-5p,Homo sapiens,CLIC4,25932,Homo sapiens,Luciferase reporter assay//qRT-PCR,Functional MTI,23793894
MIRT023402,hsa-miR-122-5p,Homo sapiens,BAX,581,Homo sapiens,Western blot,Functional MTI,18692484
MIRT023403,hsa-miR-122-5p,Homo sapiens,CDK4,1019,Homo sapiens,Reporter assay,Functional MTI,21750653
MIRT023448,hsa-miR-30b-5p,Homo sapiens,ATG12,9140,Homo sapiens,GFP reporter assay//Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,22647547
MIRT023463,hsa-miR-27b-3p,Homo sapiens,PAX7,5081,Homo sapiens,Western blot;Other,Functional MTI,19666532
MIRT023542,hsa-miR-1-3p,Homo sapiens,PGD,5226,Homo sapiens,Luciferase reporter assay//Quantitative proteomic approach//Western blot,Functional MTI,23921124
MIRT023547,hsa-miR-1-3p,Homo sapiens,SRF,6722,Homo sapiens,Western blot,Non-Functional MTI,20458751
MIRT023653,hsa-miR-1-3p,Homo sapiens,IL11,3589,Homo sapiens,Western blot,Functional MTI,28186993
